OT w/ Dailiy Psalm
Job 5-8; Ps 67
Job 9-12; Ps 68
Job 13-16; Ps 69
Job 17-20; Ps 70
Job 21-24; Ps 71
Job 25-29; Ps 72
Job 30-32; Ps 73
Job 33-35; Ps 74
Job 36-38; Ps 75
Job 39-42; Ps 1
Ps 2-8
Ps 9-17
Ps 18-21
Ps 22-27
Ps 28-33
Ps 34-37
Ps 38-41
Ps 42-48
Ps 49-54
Ps 55-60
Ps 61-67
Ps 68-71
Ps 72-76
Ps 77-78
Ps 79-85
Ps 86-89
Ps 90-96
Ps 97-103
Ps 104-106
Ps 107-109
Ps 110-118
Ps 119
Ps 120-127
Ps 128-137
Ps 138-144
Ps 145-150; Pro 1
Pro 2-5; Ps 76
Pro 6-8; Ps 77
Pro 9-12; Ps 78
Pro 13-15; Ps 79
Pro 16-19; Ps 80
Pro 20-22; Ps 81
Pro 23-25; Ps 82
Pro 26-29; Ps 83
Pro 30-31; Ecc 1; Ps 84
Ecc 2-4; Ps 85
Ecc 5-7; Ps 86
Ecc 8-11; Ps 87
Ecc 12; Sos 1-4; Ps 88
Sos 5-8; Isa 1; Ps 89
Isa 2-4; Ps 90
Isa 5-7; Ps 91
Isa 8-9; Ps 92
Isa 10-13; Ps 93
Isa 14-16; Ps 94
Isa 17-20; Ps 95
Isa 21-23; Ps 96
Isa 24-27; Ps 97
Isa 28-29; Ps 98
Isa 30-32; Ps 99
Isa 33-35; Ps 100
Isa 36-37; Ps 101
Isa 38-40; Ps 102
Isa 41-43; Ps 103
Isa 44-45; Ps 104
Isa 46-48; Ps 105
Isa 49-50; Ps 106
Isa 51-54; Ps 107
Isa 55-57; Ps 108
Isa 58-60; Ps 109
Isa 61-64; Ps 110
Isa 65-66; Ps 111
Jer 1-2; Ps 112
Jer 3-4; Ps 113
Jer 5-6; Ps 114
Jer 7-8; Ps 115
Jer 9-10; Ps 116
Jer 11-13; Ps 117
Jer 14-15; Ps 118
Jer 16-17; Ps 119
Jer 18-20; Ps 120
Jer 21-22; Ps 121
Jer 23-25; Ps 122
Jer 26; Ps 123
Jer 27-29; Ps 124
Jer 30; Ps 125
Jer 31-32; Ps 126
Jer 33; Ps 127
Jer 34-35; Ps 128
Jer 36-37; Ps 129
Jer 38-40; Ps 130
Jer 41-42; Ps 131
Jer 43-44; Ps 132
Jer 45-47; Ps 133
Jer 48-49; Ps 134
Jer 50; Ps 135
Jer 51; Ps 136
Jer 52; Ps 137
Lam 1-2; Ps 138
Lam 3-5; Ps 139
Eze 1-3; Ps 140
Eze 4-6; Ps 141
Eze 7-8; Ps 142
Eze 9-11; Ps 143
Eze 12-13; Ps 144
Eze 14-15; Ps 145
Eze 16-17; Ps 146
Eze 18-19; Ps 147
Eze 20; Ps 148
Eze 21-22; Ps 149
Eze 23; Ps 150
Eze 24-26; Ps 1
Eze 27-28; Ps 2
Eze 29-30; Ps 3
Eze 31-32; Ps 4
Eze 33; Ps 5
Eze 34-36; Ps 6
Eze 37; Ps 7
Eze 38-39; Ps 8
Eze 40; Ps 9
Eze 41-43; Ps 10
Eze 44; Ps 11
Eze 45-46; Ps 12
Eze 47-48; Ps 13
Dan 1-2; Ps 14
Dan 3; Ps 15
Dan 4-5; Ps 16
Dan 6; Ps 17
Dan 7-8; Ps 18
Dan 9-10; Ps 19
Dan 11-12; Ps 20
Hos 1-4; Ps 21
Hos 5-8; Ps 22
Hos 9-13; Ps 23
Hos 14; Joe 1-2; Ps 24
Joe 3; Amo 1-2; Ps 25
Amo 3-6; Ps 26
Amo 7-9; Ps 27
Oba; Jon 1-3; Ps 28
Jon 4; Mic 1-4; Ps 29
Mic 5-7; Ps 30
Nah 1-3; Hab 1; Ps 31
Hab 2-3; Zep 1; Ps 32
Zep 2-3; Hag 1-2; Ps 33
Zec 1-3; Ps 34
Zec 4-8; Ps 35
Zec 9-11; Ps 36
Zec 12-14; Ps 37
Mal 1-4; Ps 38
